OID_,ADDRESS,NUMBER_OF_PAYPHONES,BUROUGH,BUROUGH_ID,OPERATOR,COMMUNITY_BOARD,POINT,LATITUDE,LONGITUDE,LOCATION,ADVERTISING,WI_FI
3206,58 EAST 53 STREET,3,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.97351224 40.75943096),40.759430960000000,-73.973512240000000,CURBSIDE,TRUE,FALSE
3207,206 3 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.98530662 40.73588038),40.735880380000000,-73.985306620000000,CURBSIDE,TRUE,FALSE
3208,1644 3 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95114046 40.78273197),40.782731970000000,-73.951140460000000,CURBSIDE,TRUE,FALSE
3209,35 EAST 85 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95893814 40.78002596),40.780025960000000,-73.958938140000000,CURBSIDE,TRUE,FALSE
3210,133 WEST 14 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.99791068 40.73781909),40.737819090000000,-73.997910680000000,CURBSIDE,TRUE,FALSE
3211,989 8 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98246576 40.76730184),40.767301840000000,-73.982465760000000,CURBSIDE,TRUE,FALSE
3212,911 8 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98422445 40.76488947),40.764889470000000,-73.984224450000000,CURBSIDE,TRUE,FALSE
3213,564 WEST 57 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.99086607 40.77008049),40.770080490000000,-73.990866070000000,CURBSIDE,TRUE,FALSE
3214,161 8 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-74.00064957 40.7423452),40.742345200000000,-74.000649570000000,CURBSIDE,TRUE,FALSE
3215,166 WEST 69 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,7,POINT (-73.98240199 40.77639515),40.776395150000000,-73.982401990000000,CURBSIDE,TRUE,FALSE
3216,29 EAST 80 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96206308 40.77719446),40.777194460000000,-73.962063080000000,CURBSIDE,TRUE,FALSE
3217,310 EAST 14 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.98441623 40.73211995),40.732119950000000,-73.984416230000000,CURBSIDE,TRUE,FALSE
3218,839 9 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98674027 40.7665284),40.766528400000000,-73.986740270000000,CURBSIDE,FALSE,FALSE
3219,890 10 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98798874 40.76988261),40.769882610000000,-73.987988740000000,CURBSIDE,TRUE,FALSE
3220,594 6 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.9953738 40.73935608),40.739356080000000,-73.995373800000000,CURBSIDE,TRUE,FALSE
3221,518 AMSTERDAM AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,7,POINT (-73.97559217 40.78691174),40.786911740000000,-73.975592170000000,CURBSIDE,TRUE,FALSE
3222,899 10 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98769262 40.77032722),40.770327220000000,-73.987692620000000,CURBSIDE,TRUE,FALSE
3223,301 EAST 67 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96032974 40.7654711),40.765471100000000,-73.960329740000000,CURBSIDE,TRUE,FALSE
3224,100 DELANCEY STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.9888493 40.71884407),40.718844070000000,-73.988849300000000,CURBSIDE,TRUE,FALSE
3225,210 7 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.9960664 40.74353361),40.743533610000000,-73.996066400000000,CURBSIDE,TRUE,FALSE
3226,343 WEST 23 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.99976181 40.74583927),40.745839270000000,-73.999761810000000,CURBSIDE,TRUE,FALSE
3227,320 AMSTERDAM AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,7,POINT (-73.9801152 40.78070402),40.780704020000000,-73.980115200000000,CURBSIDE,TRUE,FALSE
3228,579 3 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.97618013 40.7483757),40.748375700000000,-73.976180130000000,CURBSIDE,TRUE,FALSE
3229,2781 BROADWAY,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,7,POINT (-73.96806992 40.8024039),40.802403900000000,-73.968069920000000,CURBSIDE,TRUE,FALSE
3230,355 EAST 61 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96180869 40.76118431),40.761184310000000,-73.961808690000000,CURBSIDE,TRUE,FALSE
3231,942 8 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98350583 40.76583631),40.765836310000000,-73.983505830000000,CURBSIDE,TRUE,FALSE
3232,1313 BROADWAY,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98792376 40.74997772),40.749977720000000,-73.987923760000000,CURBSIDE,TRUE,FALSE
3233,196 EAST 75 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95947753 40.77181115),40.771811150000000,-73.959477530000000,CURBSIDE,TRUE,FALSE
3234,500 EAST 71 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95393244 40.7660259),40.766025900000000,-73.953932440000000,CURBSIDE,TRUE,FALSE
3235,38 UNION SQUARE EAST,3,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98936603 40.73608668),40.736086680000000,-73.989366030000000,CURBSIDE,TRUE,FALSE
